patients	pseudospace	ratio	cor_tgfb
timepoint_0_rep1	69.5601595572394	outer	0.564345057989167
timepoint_0_rep2	45.8748224508195	outer	0.576865658827499
timepoint_0_rep3	53.4643746939838	outer	0.568728644545186
timepoint_0_5_rep1	50.942948923623	outer	0.569762840289678
timepoint_0_5_rep1.1	50.942948923623	outer	0.572659643090714
timepoint_0_5_rep3	46.2497675707619	outer	0.5825439087041
timepoint_1_rep1	47.9878768516732	outer	0.572465185800424
timepoint_1_rep2	52.7785470777782	outer	0.576424593499025
timepoint_1_rep3	46.2534311200732	outer	0.588408588022847
timepoint_2_rep1	49.5775288970131	outer	0.574128796031144
timepoint_2_rep2	53.3234777872864	outer	0.582409368056049
timepoint_4_rep1	50.8244381771994	outer	0.585772039067136
timepoint_4_rep2	46.5117316083246	inner	0.587916056483118
timepoint_4_rep3	46.8930716114479	outer	0.590416412091529
timepoint_8_rep1	45.5525301910321	outer	0.586590938931126
timepoint_8_rep2	43.3570616073033	neutral	0.586896975497357
timepoint_8_rep3	45.8404528356266	outer	0.598427322967149
timepoint_16_rep1	47.7913078461582	outer	0.578649128648399
timepoint_16_rep2	47.2004914934377	neutral	0.579841956982114
timepoint_16_rep3	45.8200411575025	outer	0.582746731330227
timepoint_24_rep1	52.5530345992554	outer	0.588691705114866
timepoint_24_rep2	53.8035700520056	outer	0.586551857802337
timepoint_24_rep3	45.8200411575025	outer	0.58274356920342
timepoint_72_rep1	54.2153894860965	outer	0.560226703442589
timepoint_72_rep2	54.806546535832	outer	0.559966096431568
timepoint_72_rep3	53.8750086656661	outer	0.563131216694964
