tumor	gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	pglobal_cv	qglobal_cv
LUAD	KRAS	0	37	0	0	0	750.938724745278	0	0	0	0	0.903645310323457	0	1	0	0.9556465401502	0	0	0
LUAD	TP53	3	35	11	3	7	21.4348341335451	65.0888382830294	65.0888382830294	180.635018264624	5.15143483426073e-14	4.77395900588817e-15	0	2.88219056958583e-12	5.03861841139042e-10	9.33881860731844e-11	0	0	0
LUAD	RBM10	0	2	6	3	2	9.44821971837865	293.543784074215	293.543784074215	20.4160060803964	0.199292690520124	3.36708827486376e-09	3.11009973330556e-09	0.00591878075446945	0.866030131965639	3.29334904164424e-05	2.02799236609745e-05	4.73421191138357e-10	3.08702178034951e-06
LUAD	EGFR	0	18	1	0	5	81.577037771619	31.8648060365692	31.8648060365692	41.9784105203856	2.90227609867078e-06	0.0828077052205524	1.69833667423847e-05	1.9802171971957e-06	0.0177390095688109	0.9556465401502	0.0415285775268161	8.4465590077798e-10	4.13078968275471e-06
LUAD	ARID1A	1	3	8	1	2	1.57806305960482	49.144719010429	49.144719010429	8.89516275418844	0.663012545764683	5.8587473095173e-08	1.41870497571972e-08	0.0271268451262317	0.866030131965639	0.000382029382895925	6.93817668375729e-05	8.7276905702538e-09	3.4146216587061e-05
LUAD	SETD2	0	6	5	1	6	15.8866051832419	119.496422703178	119.496422703178	23.7828562059354	0.0493461146935307	2.33934378767175e-05	0.00010009657360488	6.93806435861746e-06	0.769959284807282	0.0653746331063355	0.117555760144456	1.53395010027424e-08	5.00118864359411e-05
LUAD	STK11	0	3	4	1	2	27.2258619083444	386.46859989767	386.46859989767	46.8533227098497	0.0254988676558836	2.46650633028977e-07	1.62069578746316e-06	0.00119686890039694	0.677335295144425	0.00120624492082821	0.00634081019887085	4.08527142115034e-08	0.000114165827915061
LUAD	OR4A15	3	11	2	0	1	9.02959364327186	22.7550821669611	22.7550821669611	29.470060950833	9.32216294722288e-05	0.00542066265118035	5.91402973780797e-05	0.0331534654252948	0.113975094733484	0.9556465401502	0.0826358926649996	2.77287054795128e-05	0.0644818733048706
LUAD	OR2G2	0	5	3	0	0	66.1628866233194	693.393852676096	693.393852676096	0	0.000664769469748472	3.00656878782224e-06	2.10857102611595e-06	1	0.242465839362823	0.0115770797757681	0.00687464440214669	2.96665402179652e-05	0.0644818733048706
LUAD	ACSM2A	0	11	0	0	1	82.7992690530635	0	0	17.5902612941823	1.4337393162589e-05	0.847230491727895	4.38862886059654e-05	0.0546909376568129	0.0400668692923665	0.9556465401502	0.0683598522362019	3.34584589974929e-05	0.0654514374908956
LUAD	CDKN2A	0	4	2	1	0	70.8109469366295	656.668957075312	656.668957075312	0	0.00102799947236365	3.5508883884372e-06	2.80047806466843e-06	1	0.295431488167743	0.0115770797757681	0.00782613598586341	3.86066076362157e-05	0.0686565871436047
